REA_Identi,LOTLOTE_ID,TIPO_LOTE,CHIP_RAW,CHIP_FORMATO,CHIP_VALIDADO,CHIP_ASIGNADO,CHIP_USO,CASO_CHIP,CHIP_ALERTA,PCT_GEO,MEJORA,MOTIVO_MEJORA,MATRICULA_INMO,DIRECCION_CATASTRAL,VALOR_TERRENO,VALOR_CONSTRUCCION,VALOR_AVALUO_TOTAL,ESTADO_DEPURADO,LAT_WGS84,LON_WGS84,GMAPS_URL
1997-4-522,1318023003,Univoco,NO REGISTRA,,,,,CASO10_GEO_PARCIAL_50_98,,97.9,,,,,,,,Adquisicion predial por IDIGER,4.540227,-74.079886,"https://www.google.com/maps?q=4.540227,-74.079886"
2015-Q20-04131,1318020002,Univoco,NO REGISTRA,,,AAA0004JPJH,AAA0004JPJH,CASO9_SIN_CHIP_GEO_98,,98.9,No,,050S40091225,CL 46A BIS C SUR 16A 54 ESTE,182500.0,0.0,11680000.0,Adquisicion predial por IDIGER,4.540031,-74.081044,"https://www.google.com/maps?q=4.540031,-74.081044"
2014-Q20-01250,1318022035,Univoco,AAA0004JUSY,AAA0004JUSY,AAA0004JUSY,,AAA0004JUSY,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091266,CL 46A BIS B SUR 16B 59 ESTE,173087.51,784828.01,126504931.631,En Proceso,4.540086,-74.080293,"https://www.google.com/maps?q=4.540086,-74.080293"
2015-Q20-04125,1318018017,Univoco,AAA0004JMDE,AAA0004JMDE,AAA0004JMDE,,AAA0004JMDE,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091184,CL 46B SUR 16 14 ESTE,182500.0,339792.5,53509768.0,En Proceso,4.53975,-74.082548,"https://www.google.com/maps?q=4.53975,-74.082548"
1997-4-523,1318020010,Univoco,NO REGISTRA,,,AAA0004JPSK,AAA0004JPSK,CASO9_SIN_CHIP_GEO_98,,100.0,No,,050S40091219,CL 46A BIS C SUR 16A 20 ESTE,182500.0,0.0,14890175.0,Adquisicion predial por IDIGER,4.540069,-74.081399,"https://www.google.com/maps?q=4.540069,-74.081399"
1997-4-2905,1318020011,Univoco,NO REGISTRA,,,AAA0004JPTO,AAA0004JPTO,CASO9_SIN_CHIP_GEO_98,,100.0,No,,050S40091218,CL 46A BIS C SUR 16A 16 ESTE,182500.0,0.0,16060000.0,Adquisicion predial por IDIGER,4.540074,-74.081445,"https://www.google.com/maps?q=4.540074,-74.081445"
1997-4-565,1318064030,Univoco,NO REGISTRA,,,AAA0004JMUH,AAA0004JMUH,CASO9_SIN_CHIP_GEO_98,,100.0,No,,050S40091135,CL 46B SUR 15 18 ESTE,182500.0,0.0,11041250.0,Adquisicion predial por IDIGER,4.539712,-74.083166,"https://www.google.com/maps?q=4.539712,-74.083166"
2015-Q20-01315,1318064028,Univoco,NO REGISTRA,,,AAA0004JMSY,AAA0004JMSY,CASO9_SIN_CHIP_GEO_98,,100.0,No,,050S40091153,CL 46B SUR 15 26 ESTE,182500.0,571416.39,54451013.358,Reasentamiento Terminado,4.539718,-74.083079,"https://www.google.com/maps?q=4.539718,-74.083079"
2015-Q20-01352,1318022037,Univoco,AAA0004JUUH,AAA0004JUUH,AAA0004JUUH,,AAA0004JUUH,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091268,CL 46A BIS B SUR 16B 71 ESTE,173505.98,383586.13,68692974.872,Reasentamiento Terminado,4.540079,-74.080202,"https://www.google.com/maps?q=4.540079,-74.080202"
2015-Q20-01354,1318020006,Univoco,AAA0004JPNN,AAA0004JPNN,AAA0004JPNN,,AAA0004JPNN,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091229,CL 46A BIS C SUR 16A 38 ESTE,182500.0,549247.98,87273548.462,Reasentamiento Terminado,4.540044,-74.081221,"https://www.google.com/maps?q=4.540044,-74.081221"
2015-Q20-04065,1318018004,Univoco,AAA0004JLMS,AAA0004JLMS,AAA0004JLMS,,AAA0004JLMS,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091171,CL 46B SUR 16 66 ESTE,185445.86,0.0,12165248.416,Reasentamiento Terminado,4.539809,-74.081955,"https://www.google.com/maps?q=4.539809,-74.081955"
2015-Q20-04057,1318014021,Multiple_chip_por_areas,AAA0004JCPA Y AAA0004JCRJ,,,AAA0004JCPA,AAA0004JCPA,CASO9_SIN_CHIP_GEO_98,,98.8,No,,050S40091417,CL 46C SUR 15 08 ESTE,189938.95,0.0,13751579.98,En Proceso,4.539403,-74.083339,"https://www.google.com/maps?q=4.539403,-74.083339"
2015-Q20-01385,1318022034,Univoco,AAA0004JURJ,AAA0004JURJ,AAA0004JURJ,,AAA0004JURJ,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091265,CL 46A BIS B SUR 16B 55 ESTE,175386.74,620107.17,53377641.361,Reasentamiento Terminado,4.54009,-74.080337,"https://www.google.com/maps?q=4.54009,-74.080337"
2015-Q20-04133,1318020005,Univoco,AAA0004JPMS,AAA0004JPMS,AAA0004JPMS,,AAA0004JPMS,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091228,CL 46A BIS C SUR 16A 42 ESTE,182500.0,463183.58,56062916.888,Reasentamiento Terminado,4.540041,-74.081176,"https://www.google.com/maps?q=4.540041,-74.081176"
1997-4-546,1318023010,Univoco,NO REGISTRA,,,,,CASO10_GEO_PARCIAL_50_98,,97.3,,,,,,,,Adquisicion predial por IDIGER,4.540289,-74.080256,"https://www.google.com/maps?q=4.540289,-74.080256"
2015-Q20-04076,1318022033,Univoco,AAA0004JUPA,AAA0004JUPA,AAA0004JUPA,,AAA0004JUPA,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091264,CL 46A BIS B SUR 16B 51 ESTE,177013.43,543709.45,19817097.001,En Proceso,4.540092,-74.08038,"https://www.google.com/maps?q=4.540092,-74.08038"
2015-Q20-04078,1318022039,Univoco,AAA0004JUXS,AAA0004JUXS,AAA0004JUXS,,AAA0004JUXS,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091270,CL 46A BIS B SUR 16B 81 ESTE,168600.0,507754.04,146141603.936,En Proceso,4.540075,-74.08007,"https://www.google.com/maps?q=4.540075,-74.08007"
2015-Q20-04067,1318018007,Multiple_chip_por_areas,AAA0004JLRU,AAA0004JLRU,AAA0004JLRU,,AAA0004JLRU,CASO2_EXACTO_GEO_OK,,99.9,Sí,CODIGO_TRA contiene MJ; Area terreno cero; Propietario poseedor,050S00000000,CL 46B SUR 16 54 ESTE MJ,182500.0,655918.74,46439046.792,En Proceso,4.53981,-74.082092,"https://www.google.com/maps?q=4.53981,-74.082092"
2015-Q20-04079,1318022040,Univoco,AAA0004JUYN,AAA0004JUYN,AAA0004JUYN,,AAA0004JUYN,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091271,CL 46A BIS B SUR 16B 85 ESTE,168600.0,515696.73,44151500.609,En Proceso,4.54006,-74.08002,"https://www.google.com/maps?q=4.54006,-74.08002"
2014-Q20-01268,1318018009,Univoco,AAA0004JLTO,AAA0004JLTO,AAA0004JLTO,,AAA0004JLTO,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091176,CL 46B SUR 16 46 ESTE,182500.0,0.0,15092750.0,Reasentamiento Terminado,4.539803,-74.082187,"https://www.google.com/maps?q=4.539803,-74.082187"
1997-4-534,1318023007,Univoco,NO REGISTRA,,,AAA0004JWNX,AAA0004JWNX,CASO9_SIN_CHIP_GEO_98,,98.8,No,,050S40091249,CL 46A BIS B SUR 16B 70 ESTE,138700.0,0.0,11858850.0,Adquisicion predial por IDIGER,4.540276,-74.080105,"https://www.google.com/maps?q=4.540276,-74.080105"
2015-Q20-04114,1318064022,Univoco,NO REGISTRA,,,AAA0004JMLF,AAA0004JMLF,CASO9_SIN_CHIP_GEO_98,,100.0,No,,050S40091147,CL 46B SUR 15 48 ESTE,182500.0,0.0,13505000.0,Adquisicion predial por IDIGER,4.539737,-74.082799,"https://www.google.com/maps?q=4.539737,-74.082799"
2015-Q20-04115,1318064023,Univoco,NO REGISTRA,,,AAA0004JMMR,AAA0004JMMR,CASO9_SIN_CHIP_GEO_98,,100.0,No,,050S40091148,CL 46B SUR 15 46 ESTE,182500.0,507354.41,145419711.155,Adquisicion predial por IDIGER,4.539741,-74.082849,"https://www.google.com/maps?q=4.539741,-74.082849"
2015-Q20-04137,1318064024,Univoco,AAA0004JMNX,AAA0004JMNX,AAA0004JMNX,,AAA0004JMNX,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091149,CL 46B SUR 15 42 ESTE,182500.0,426177.06,36168890.003,En Proceso,4.53973,-74.082889,"https://www.google.com/maps?q=4.53973,-74.082889"
2015-Q20-04136,1318064021,Univoco,NO REGISTRA,,,AAA0004JMKC,AAA0004JMKC,CASO9_SIN_CHIP_GEO_98,,100.0,No,,050S40091146,CL 46B SUR 15 56 ESTE,182500.0,0.0,18706250.0,Adquisicion predial por IDIGER,4.539745,-74.082749,"https://www.google.com/maps?q=4.539745,-74.082749"
2015-Q20-01314,1318064026,Univoco,AAA0004JMPA,AAA0004JMPA,AAA0004JMPA,,AAA0004JMPA,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091151,CL 46B SUR 15 34 ESTE,182500.0,725741.92,105757809.296,En Proceso,4.539723,-74.08299,"https://www.google.com/maps?q=4.539723,-74.08299"
2015-Q20-04140,1318018003,Univoco,AAA0004JLLW,AAA0004JLLW,AAA0004JLLW,,AAA0004JLLW,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40091170,CL 46B SUR 16 70 ESTE,182500.0,303924.8,23654326.128,En Proceso,4.539828,-74.081902,"https://www.google.com/maps?q=4.539828,-74.081902"
